Ref,Val,Package,PosX,PosY,Rot,Side
"AC1201","LSM6DSOTR","LGA-14_2.5X3X0.86_",159.8460,79.9170,-90.0000,top
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",204.6900,100.9070,180.0000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",256.4100,131.3870,-90.0000,top
"C9","680uF","CP_Elec_10x12.5",152.4460,33.7170,-90.0000,top
"C11","4.7uF","C_1206_3216Metric",158.2460,54.6170,0.0000,top
"C12","4.7uF","C_1206_3216Metric",158.3460,40.8170,0.0000,top
"C13","1uF","C_0805_2012Metric",157.7460,43.3170,0.0000,top
"C14","1uF","C_0805_2012Metric",157.6460,52.1170,0.0000,top
"C15","0.1uF","C_0603_1608Metric",154.9460,42.8170,-90.0000,top
"C16","22uF","C_1206_3216Metric",165.0460,55.5170,180.0000,top
"C17","2.2uF","C_0603_1608Metric",153.8460,52.1170,180.0000,top
"C18","0.1uF","C_0603_1608Metric",165.8460,53.1170,180.0000,top
"C19","0.1uF","C_0603_1608Metric",169.2460,53.1170,0.0000,top
"C20","22uF","C_1206_3216Metric",170.0460,58.3170,0.0000,top
"C21","22uF","C_1206_3216Metric",170.0460,55.5170,0.0000,top
"C22","22uF","C_1206_3216Metric",165.0460,58.3170,180.0000,top
"C23","680uF","CP_Elec_10x12.5",152.4460,67.9170,90.0000,top
"C24","0.1uF","C_0603_1608Metric",155.3460,78.6670,180.0000,top
"C25","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.0900,22.3070,0.0000,top
"C26","0.1uF","C_0603_1608Metric",155.3460,81.4170,180.0000,top
"D1","D_Schottky","D_SOD-123F",242.0900,19.1070,-90.0000,top
"D2","D_Schottky","D_SMA_Handsoldering",54.2460,109.3170,0.0000,top
"D3","D_Schottky","D_SMA_Handsoldering",54.2460,113.1170,180.0000,top
"D15","D_Schottky","D_SMA_Handsoldering",70.6700,120.3170,180.0000,top
"D16","D_Schottky","D_SMA_Handsoldering",70.5960,116.1170,180.0000,top
"D23","LED","LED_0805_2012Metric",181.3060,102.9170,0.0000,top
